post_id,platform,content_type,topic,language,region,post_datetime,hashtags,views,likes,comments,shares,engagement_rate,sentiment_score,is_viral,text,predicted_sentiment,engagement_level,likes_per_view,comments_per_view,shares_per_view
SM_100000,Instagram,text,Sports,ur,UK,2024-12-10 00:00:00,#tech #funny #music,2319102,122058,15800,861,0.0598,0.464,1,This is a amazing and exciting Sports post on Instagram in text format,Positive,high,0.052631556252568344,0.00681297898368464,0.000371264234490663
SM_100001,Instagram,carousel,Sports,ur,Brazil,2024-10-13 00:00:00,#news #fyp #funny #ai #trending,2538464,110368,11289,54887,0.0695,-0.8,1,This is a amazing and exciting Sports post on Instagram in carousel format,Positive,high,0.04347824374178884,0.004447175753851245,0.021622122030439655
SM_100002,YouTube Shorts,video,Technology,ur,UK,2024-05-03 00:00:00,#ai #news,1051176,87598,47196,44132,0.1702,0.416,0,This is a amazing and exciting Technology post on YouTube Shorts in video format,Positive,high,0.08333325405711883,0.04489824263658737,0.04198341478171611
SM_100003,X,text,Politics,ur,US,2024-08-04 00:00:00,#ai #funny,5271440,329465,774,59736,0.074,0.877,1,This is a amazing and exciting Politics post on X in text format,Positive,high,0.06249998814365939,0.00014682892211067145,0.011332005802587945
SM_100004,YouTube Shorts,text,Education,es,US,2024-03-28 00:00:00,#news #ai #viral #funny #fyp,3186256,199141,5316,83105,0.0903,0.223,1,This is a amazing and exciting Education post on YouTube Shorts in text format,Positive,high,0.06249998038450759,0.0016684153224300487,0.02608232794780835
SM_100005,Instagram,carousel,Sports,hi,Brazil,2024-11-01 00:00:00,#tech #music,6513472,465248,27485,25659,0.0796,-0.907,1,This is a amazing and exciting Sports post on Instagram in carousel format,Positive,high,0.07142856046229101,0.004219715042957881,0.003939373050291296
SM_100006,X,text,Education,hi,UK,2024-06-09 00:00:00,#tech #ai,65481,2847,194,84655,1.3393,-0.235,0,This is a average and okay Education post on X in text format,Positive,medium,0.04347759689685715,0.002962646223389634,1.2927980208301517
SM_100007,X,text,Technology,es,Pakistan,2024-07-26 00:00:00,#trending #tech #news,2961423,329047,31556,11395,0.1256,0.215,1,This is a amazing and exciting Technology post on X in text format,Positive,high,0.11111107359162349,0.010655684562561794,0.0038478110530609597
SM_100008,YouTube Shorts,text,Sports,es,Pakistan,2024-03-03 00:00:00,#music #tech #news #trending,3916736,489592,14507,87314,0.151,0.884,1,This is a amazing and exciting Sports post on YouTube Shorts in text format,Positive,high,0.12499996808567948,0.0037038483819567154,0.022292535853185955
SM_100009,YouTube Shorts,video,Politics,en,US,2024-10-05 00:00:00,#music #trending #ai #viral #news,3116477,239729,8438,43002,0.0934,-0.968,1,This is a amazing and exciting Politics post on YouTube Shorts in video format,Positive,high,0.07692305224038161,0.0027075435796434307,0.013798268429939182
SM_100010,X,text,Entertainment,hi,India,2024-11-12 00:00:00,#trending #fyp #news,3034812,252901,23488,48556,0.1071,-0.931,1,This is a amazing and exciting Entertainment post on X in text format,Positive,high,0.08333330587420049,0.007739521347773322,0.015999667854329082
SM_100011,Instagram,text,Technology,fr,US,2024-01-17 00:00:00,#news #trending #viral,1763894,80177,35925,92068,0.118,0.325,0,This is a amazing and exciting Technology post on Instagram in text format,Positive,high,0.04545451968512865,0.02036685857151361,0.05219585066004496
SM_100012,YouTube Shorts,image,Technology,fr,Brazil,2024-01-01 00:00:00,#ai #fyp #viral #trending #tech,7324226,281701,1026,77190,0.0491,0.093,1,This is a amazing and exciting Technology post on YouTube Shorts in image format,Positive,high,0.03846153321026233,0.00014008304221046125,0.01053899612887476
